30.0	19.2	44.79	19.0	45.566666	7.0266666	84.25667	18.2	48.9	6.6	92.0	7.0	63.0	5.3	13.275434	0.70710677	-0.70710677	-0.70710677	-0.70710677
30.0	19.2	44.7225	19.0	45.9925	6.8333335	84.06333	18.2	48.863335	6.483333	92.0	6.6666665	59.166668	5.2	18.606195	0.6755902	-0.7372773	-0.71150064	-0.7026855
30.0	19.2	44.626667	18.926666	45.89	6.56	83.15667	18.2	48.73	6.366667	92.0	6.3333335	55.333332	5.1	28.642668	0.64278764	-0.76604444	-0.71586686	-0.6982368
40.0	19.2	44.59	18.89	45.72333	6.4333334	83.42333	18.1	48.59	6.25	92.0	6.0	51.5	5.0	45.41039	0.6087614	-0.7933533	-0.72020525	-0.69376105
40.0	19.2	44.53	18.89	45.53	6.366667	84.89333	18.1	48.59	6.133333	92.0	5.6666665	47.666668	4.9	10.084097	0.57357645	-0.81915206	-0.7245157	-0.68925834
40.0	19.2	44.5	18.89	45.73	6.3	85.76667	18.1	48.59	6.016667	92.0	5.3333335	43.833332	4.8	44.919483	0.53729963	-0.8433914	-0.7287979	-0.68472886
50.0	19.2	44.5	18.89	45.79	6.2633333	86.09	18.1	48.59	5.9	92.0	5.0	40.0	4.7	47.233765	0.5	-0.8660254	-0.7330519	-0.68017274
50.0	19.2	44.5	18.89	45.863335	6.19	86.42333	18.1	48.59	5.9166665	91.833336	5.1666665	40.0	4.6833334	33.03989	0.4617486	-0.8870108	-0.7372773	-0.6755902
40.0	19.2	44.433334	18.89	45.79	6.1233335	87.22667	18.1	48.59	5.9333334	91.666664	5.3333335	40.0	4.6666665	31.455702	0.42261827	-0.9063078	-0.74147415	-0.6709814
40.0	19.23	44.4	18.89	46.09667	6.19	87.62666	18.1	48.59	5.95	91.5	5.5	40.0	4.65	3.0893135	0.38268343	-0.9238795	-0.7456422	-0.66634655
70.0	19.356667	44.4	18.89	46.43	6.19	87.86667	18.1	48.59	5.9666667	91.333336	5.6666665	40.0	4.633333	10.298729	0.34202015	-0.9396926	-0.7497812	-0.6616858
60.0	19.426666	44.4	19.0	46.43	6.1233335	87.99333	18.066668	48.633335	5.983333	91.166664	5.8333335	40.0	4.616667	8.827838	0.3007058	-0.95371693	-0.7538911	-0.6569994
50.0	19.566668	44.4	19.0	46.363335	6.1233335	88.59	18.066668	48.56	6.0	91.0	6.0	40.0	4.6	34.351143	0.25881904	-0.9659258	-0.7579717	-0.6522874
40.0	19.73	45.1	19.0	47.22333	6.0675	88.215	18.033333	48.666668	6.0	90.5	6.0	40.0	4.516667	19.205187	0.21643962	-0.976296	-0.7620229	-0.6475501
